Year,Stage,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result
1962.0,Group 3,Czechoslovakia,Spain,1.0,0.0,HomeWin
1962.0,Group 4,Hungary,England,2.0,1.0,HomeWin
1962.0,Group 2,Germany FR,Italy,0.0,0.0,Draw
1962.0,Group 1,Yugoslavia,Uruguay,3.0,1.0,HomeWin
1962.0,Group 3,Brazil,Czechoslovakia,0.0,0.0,Draw
1962.0,Group 4,England,Argentina,3.0,1.0,HomeWin
1962.0,Group 2,Chile,Italy,2.0,0.0,HomeWin
1962.0,Group 1,Soviet Union,Colombia,4.0,4.0,Draw
1962.0,Group 3,Spain,Mexico,1.0,0.0,HomeWin
1962.0,Group 4,Hungary,Bulgaria,6.0,1.0,HomeWin
1962.0,Group 2,Germany FR,Switzerland,2.0,1.0,HomeWin
1962.0,Group 1,Soviet Union,Uruguay,2.0,1.0,HomeWin
1962.0,Group 3,Brazil,Spain,2.0,1.0,HomeWin
1962.0,Group 4,Hungary,Argentina,0.0,0.0,Draw
1962.0,Group 2,Germany FR,Chile,2.0,0.0,HomeWin
1962.0,Group 1,Yugoslavia,Colombia,5.0,0.0,HomeWin
1962.0,Group 3,Mexico,Czechoslovakia,3.0,1.0,HomeWin
1962.0,Group 4,England,Bulgaria,0.0,0.0,Draw
1962.0,Group 2,Italy,Switzerland,3.0,0.0,HomeWin
1962.0,Quarter-finals,Chile,Soviet Union,2.0,1.0,HomeWin
1962.0,Quarter-finals,Brazil,England,3.0,1.0,HomeWin
1962.0,Quarter-finals,Czechoslovakia,Hungary,1.0,0.0,HomeWin
1962.0,Quarter-finals,Yugoslavia,Germany FR,1.0,0.0,HomeWin
1962.0,Semi-finals,Czechoslovakia,Yugoslavia,3.0,1.0,HomeWin
1962.0,Semi-finals,Brazil,Chile,4.0,2.0,HomeWin
1962.0,Match for third place,Chile,Yugoslavia,1.0,0.0,HomeWin
1962.0,Final,Brazil,Czechoslovakia,3.0,1.0,HomeWin
1966.0,Group 1,England,Uruguay,0.0,0.0,Draw
1966.0,Group 2,Germany FR,Switzerland,5.0,0.0,HomeWin
1966.0,Group 3,Brazil,Bulgaria,2.0,0.0,HomeWin
1966.0,Group 4,Soviet Union,Korea DPR,3.0,0.0,HomeWin
1966.0,Group 1,France,Mexico,1.0,1.0,Draw
1966.0,Group 3,Portugal,Hungary,3.0,1.0,HomeWin
1966.0,Group 2,Argentina,Spain,2.0,1.0,HomeWin
1966.0,Group 4,Italy,Chile,2.0,0.0,HomeWin
1966.0,Group 1,Uruguay,France,2.0,1.0,HomeWin
1966.0,Group 2,Spain,Switzerland,2.0,1.0,HomeWin
1966.0,Group 3,Hungary,Brazil,3.0,1.0,HomeWin
1966.0,Group 4,Korea DPR,Chile,1.0,1.0,Draw
1966.0,Group 3,Portugal,Bulgaria,3.0,0.0,HomeWin
1966.0,Group 2,Germany FR,Argentina,0.0,0.0,Draw
1966.0,Group 4,Soviet Union,Italy,1.0,0.0,HomeWin
1966.0,Group 1,England,Mexico,2.0,0.0,HomeWin
1966.0,Group 1,Uruguay,Mexico,0.0,0.0,Draw
1966.0,Group 2,Argentina,Switzerland,2.0,0.0,HomeWin
1966.0,Group 3,Portugal,Brazil,3.0,1.0,HomeWin
1966.0,Group 4,Korea DPR,Italy,1.0,0.0,HomeWin
1966.0,Group 1,England,France,2.0,0.0,HomeWin
1966.0,Group 3,Hungary,Bulgaria,3.0,1.0,HomeWin
1966.0,Group 2,Germany FR,Spain,2.0,1.0,HomeWin
1966.0,Group 4,Soviet Union,Chile,2.0,1.0,HomeWin
1966.0,Quarter-finals,England,Argentina,1.0,0.0,HomeWin
1966.0,Quarter-finals,Germany FR,Uruguay,4.0,0.0,HomeWin
1966.0,Quarter-finals,Soviet Union,Hungary,2.0,1.0,HomeWin
1966.0,Quarter-finals,Portugal,Korea DPR,5.0,3.0,HomeWin
1966.0,Semi-finals,Germany FR,Soviet Union,2.0,1.0,HomeWin
1966.0,Semi-finals,England,Portugal,2.0,1.0,HomeWin
1966.0,Match for third place,Portugal,Soviet Union,2.0,1.0,HomeWin
1966.0,Final,England,Germany FR,4.0,2.0,HomeWin
1970.0,Group 1,Mexico,Soviet Union,0.0,0.0,Draw
1970.0,Group 2,Uruguay,Israel,2.0,0.0,HomeWin
1970.0,Group 4,Peru,Bulgaria,3.0,2.0,HomeWin
1970.0,Group 3,England,Romania,1.0,0.0,HomeWin
1970.0,Group 2,Italy,Sweden,1.0,0.0,HomeWin
1970.0,Group 4,Germany FR,Morocco,2.0,1.0,HomeWin
1970.0,Group 3,Brazil,Czechoslovakia,4.0,1.0,HomeWin
1970.0,Group 1,Belgium,El Salvador,3.0,0.0,HomeWin
1970.0,Group 2,Uruguay,Italy,0.0,0.0,Draw
1970.0,Group 4,Peru,Morocco,3.0,0.0,HomeWin
1970.0,Group 3,Romania,Czechoslovakia,2.0,1.0,HomeWin
1970.0,Group 1,Soviet Union,Belgium,4.0,1.0,HomeWin
1970.0,Group 2,Sweden,Israel,1.0,1.0,Draw
1970.0,Group 4,Germany FR,Bulgaria,5.0,2.0,HomeWin
1970.0,Group 3,Brazil,England,1.0,0.0,HomeWin
1970.0,Group 1,Mexico,El Salvador,4.0,0.0,HomeWin
1970.0,Group 2,Sweden,Uruguay,1.0,0.0,HomeWin
1970.0,Group 4,Germany FR,Peru,3.0,1.0,HomeWin
1970.0,Group 3,Brazil,Romania,3.0,2.0,HomeWin
1970.0,Group 1,Soviet Union,El Salvador,2.0,0.0,HomeWin
1970.0,Group 2,Italy,Israel,0.0,0.0,Draw
1970.0,Group 4,Bulgaria,Morocco,1.0,1.0,Draw
1970.0,Group 3,England,Czechoslovakia,1.0,0.0,HomeWin
1970.0,Group 1,Mexico,Belgium,1.0,0.0,HomeWin
1970.0,Quarter-finals,Italy,Mexico,4.0,1.0,HomeWin
1970.0,Quarter-finals,Germany FR,England,3.0,2.0,HomeWin
1970.0,Quarter-finals,Brazil,Peru,4.0,2.0,HomeWin
1970.0,Quarter-finals,Uruguay,Soviet Union,1.0,0.0,HomeWin
1970.0,Semi-finals,Brazil,Uruguay,3.0,1.0,HomeWin
1970.0,Semi-finals,Italy,Germany FR,4.0,3.0,HomeWin
1970.0,Match for third place,Germany FR,Uruguay,1.0,0.0,HomeWin
1970.0,Final,Brazil,Italy,4.0,1.0,HomeWin
1974.0,Group 2,Brazil,Yugoslavia,0.0,0.0,Draw
1974.0,Group 1,Germany FR,Chile,1.0,0.0,HomeWin
1974.0,Group 1,German DR,Australia,2.0,0.0,HomeWin
1974.0,Group 2,Zaire,Scotland,0.0,2.0,AwayWin
1974.0,Group 3,Uruguay,Netherlands,0.0,2.0,AwayWin
1974.0,Group 3,Sweden,Bulgaria,0.0,0.0,Draw
1974.0,Group 4,Italy,Haiti,3.0,1.0,HomeWin
1974.0,Group 4,Poland,Argentina,3.0,2.0,HomeWin
1974.0,Group 1,Australia,Germany FR,0.0,3.0,AwayWin
1974.0,Group 2,Scotland,Brazil,0.0,0.0,Draw
1974.0,Group 1,Chile,German DR,1.0,1.0,Draw
1974.0,Group 2,Yugoslavia,Zaire,9.0,0.0,HomeWin
1974.0,Group 3,Netherlands,Sweden,0.0,0.0,Draw
1974.0,Group 3,Bulgaria,Uruguay,1.0,1.0,Draw
1974.0,Group 4,Haiti,Poland,0.0,7.0,AwayWin
1974.0,Group 4,Argentina,Italy,1.0,1.0,Draw
1974.0,Group 2,Scotland,Yugoslavia,1.0,1.0,Draw
1974.0,Group 1,Australia,Chile,0.0,0.0,Draw
1974.0,Group 2,Zaire,Brazil,0.0,3.0,AwayWin
1974.0,Group 1,German DR,Germany FR,1.0,0.0,HomeWin
1974.0,Group 3,Bulgaria,Netherlands,1.0,4.0,AwayWin
1974.0,Group 4,Argentina,Haiti,4.0,1.0,HomeWin
1974.0,Group 3,Sweden,Uruguay,3.0,0.0,HomeWin
1974.0,Group 4,Poland,Italy,2.0,1.0,HomeWin
1974.0,Group B,Yugoslavia,Germany FR,0.0,2.0,AwayWin
1974.0,Group A,Brazil,German DR,1.0,0.0,HomeWin
1974.0,Group A,Netherlands,Argentina,4.0,0.0,HomeWin
1974.0,Group B,Sweden,Poland,0.0,1.0,AwayWin
1974.0,Group A,Argentina,Brazil,1.0,2.0,AwayWin
1974.0,Group B,Poland,Yugoslavia,2.0,1.0,HomeWin
1974.0,Group A,German DR,Netherlands,0.0,2.0,AwayWin
1974.0,Group B,Germany FR,Sweden,4.0,2.0,HomeWin
1974.0,Group B,Poland,Germany FR,0.0,1.0,AwayWin
1974.0,Group A,Netherlands,Brazil,2.0,0.0,HomeWin
1974.0,Group A,Argentina,German DR,1.0,1.0,Draw
1974.0,Group B,Sweden,Yugoslavia,2.0,1.0,HomeWin
1974.0,Match for third place,Brazil,Poland,0.0,1.0,AwayWin
1974.0,Final,Netherlands,Germany FR,1.0,2.0,AwayWin
1978.0,Group 2,Germany FR,Poland,0.0,0.0,Draw
1978.0,Group 1,Italy,France,2.0,1.0,HomeWin
1978.0,Group 2,Tunisia,Mexico,3.0,1.0,HomeWin
1978.0,Group 1,Argentina,Hungary,2.0,1.0,HomeWin
1978.0,Group 3,Sweden,Brazil,1.0,1.0,Draw
1978.0,Group 3,Austria,Spain,2.0,1.0,HomeWin
1978.0,Group 4,Peru,Scotland,3.0,1.0,HomeWin
1978.0,Group 4,Netherlands,IR Iran,3.0,0.0,HomeWin
1978.0,Group 1,Italy,Hungary,3.0,1.0,HomeWin
1978.0,Group 2,Poland,Tunisia,1.0,0.0,HomeWin
1978.0,Group 2,Germany FR,Mexico,6.0,0.0,HomeWin
